	1000_908	1000	1293_1000	1293_1591	1591	908_1591	908	Phase	X	Y
246	1.68762	2.77907	0.828589	0.797114	2.8888	0.593063	1.64934	4	-1.4764097	8.8867
247	1.7664	3.0016	0.746308	0.882524	2.53831	0.68883	1.69844	3	-0.47202519	8.8867
248	1.78252	2.54529	1.00449	0.871693	2.93306	0.503115	1.42807	4	0.53235924	8.8867
249	1.41131	2.45532	0.808906	0.752462	2.6395	0.663186	1.73001	4	1.5367436	8.8867
250	1.28164	2.27333	0.98167	1.00887	2.21203	0.821409	1.7771	3	2.5411282	8.8867
251	1.1876	1.58205	0.948007	0.936801	1.60098	0.831199	1.32594	3	3.5455124	8.8867
252	1.46495	1.08635	0.867591	0.97996	0.961782	0.784269	0.742462	3	4.5498972	8.8867
253	1.16157	0.843629	0.800716	1.33152	0.507319	1.4242	0.731085	1	5.5542812	8.8867
254	1.64207	1.21096	0.739355	1.14405	0.782602	0.97353	0.737544	3	6.5586658	8.8867
255	1.51987	1.91551	0.812524	1.0222	1.52259	0.824147	1.24344	3	7.5630503	8.8867
256	1.71787	2.42212	0.815826	1.19806	1.64936	0.883156	1.4023	3	8.5674343	8.8867
257	1.96401	2.20074	0.795181	1.03797	1.68597	0.675815	1.11983	3	9.5718193	8.8867
258	1.94333	2.17778	0.836823	1.13057	1.61195	0.711236	1.11513	3	10.576203	8.8867
259	2.03959	1.73489	0.76082	0.946401	1.39469	0.617425	0.839739	3	11.580588	8.8867
260	2.04954	2.0522	0.721226	0.863918	1.71324	0.593639	0.992634	3	12.584972	8.8867
261	1.59179	1.10273	0.679305	0.740086	1.01217	0.698265	0.695661	3	13.589356	8.8867
262	1.36553	0.525139	1.00283	1.09974	0.478865	0.832084	0.393505	3	14.593741	8.8867
263	1.13081	0.527435	0.726679	0.816653	0.469325	1.00359	0.463663	1	15.598125	8.8867
264	1.48014	0.643786	0.446858	1.06858	0.269219	1.6263	0.432795	2	16.60251	8.8867
265	1.25304	0.756171	0.838368	1.23817	0.512005	1.17776	0.615118	1	17.606895	8.8867
266	1.14897	0.570465	0.597536	0.96787	0.352189	1.40496	0.501132	1	18.611279	8.8867
267	1.33805	0.46672	0.615447	1.64985	0.174102	1.85242	0.343612	2	-19.55533	7.85948
268	1.15912	0.550223	0.683925	1.21248	0.310366	1.57887	0.488838	2	-18.550945	7.85948
269	1.52372	0.7	0.426542	0.798241	0.374046	1.19856	0.460759	1	-17.54656	7.85948
270	1.4368	0.665964	0.695109	1.20722	0.383456	1.2479	0.47217	1	-16.542175	7.85948
271	1.22004	0.625507	0.715342	1.10403	0.405288	1.28602	0.509219	1	-15.537791	7.85948
272	1.47328	0.673597	0.625463	1.13921	0.369827	1.21408	0.461732	1	-14.533407	7.85948
