	HC	wG	D5G	D1G	D4D5G	DG	Phase	X	Y
4027	0.40919749	35.7321	0.528895614	1.570010099	0.61857826	2.102251929	6	33.957771	-32.5405
4028	0.338618084	36.1031	0.448909887	1.708869205	0.53224183	2.204059012	6	35.214592	-32.5405
4029	0.314162084	36.1032	0.421194565	1.722621871	0.495189807	2.297880933	6	36.471413	-32.5405
4030	0.386427813	35.9793	0.503091357	1.645036443	0.575259062	1.645036443	4	37.728237	-32.5405
4031	0.320477587	51.4469	0.428351754	1.481534655	0.586935204	2.036815223	4	-42.708363	-33.7971
4032	0.284074948	44.3316	0.387097629	1.779764909	0.555280568	2.256935788	4	-41.451542	-33.7971
4033	0.111679717	43.4847	0.191726787	1.798363812	0.477170879	2.419538396	3	-40.194717	-33.7971
4034	0.336079657	47.5299	0.446033157	1.554029291	0.621174585	2.121119317	4	-38.937897	-33.7971
4035	0.393570255	44.6371	0.511185692	1.426103585	0.567090026	2.1453195	4	-37.681076	-33.7971
4036	0.50345742	46.7553	0.635717837	1.020235457	0.719215915	1.627534882	4	-36.424252	-33.7971
4037	0.423389336	43.2523	0.544978849	1.499313038	0.607299425	2.15068821	4	-35.167431	-33.7971
4038	0.437652274	38.6766	0.56114265	1.651813257	0.651375172	2.469553399	6	-33.91061	-33.7971
4039	0.594272745	38.0836	0.738636384	1.17152864	0.817740143	1.827759187	6	-32.65379	-33.7971
4040	0.464517201	38.0561	0.591587943	1.66043248	0.656230547	2.478238501	6	-31.396967	-33.7971
4041	0.580426033	35.3781	0.72294428	1.44568418	0.817806021	1.98248695	6	-30.140144	-33.7971
4042	0.352093889	35.1798	0.464181652	1.98788953	0.53680277	2.360053867	6	-28.883322	-33.7971
4043	0.181147952	34.3412	0.270453255	2.312695153	0.372164337	2.883569966	6	-27.626501	-33.7971
4044	0.372126766	36.4435	0.486884367	1.593292945	0.570874813	2.173762734	6	-26.369678	-33.7971
4045	0.392047587	36.9417	0.509460094	1.604116275	0.580469789	2.12116762	6	-25.112856	-33.7971
4046	0.337116264	37.004	0.447207914	1.888594555	0.517051345	2.550774654	6	-23.856035	-33.7971
4047	0.42363688	38.1373	0.545259384	1.414732768	0.662180099	2.047608946	6	-22.599213	-33.7971
4048	0.4314167	39.5424	0.554076043	1.730625841	0.632876178	2.465035173	6	-21.342392	-33.7971
4049	0.579007525	41.4754	0.721336723	1.227918123	0.734409332	1.889847801	4	-20.085569	-33.7971
4050	0.466640616	37.4829	0.593994352	1.508326351	0.661929678	2.136740536	6	-18.828747	-33.7971
4051	0.44157817	37.6626	0.565591761	1.449523515	0.628414186	2.131629363	6	-17.571926	-33.7971
4052	0.480122729	37.9829	0.609273265	1.501168596	0.682105848	2.266777953	6	-16.315104	-33.7971
4053	0.548827616	38.2238	0.687134651	1.375150523	0.765609357	1.933787066	6	-15.058282	-33.7971
4054	0.379112313	37.389	0.494800898	1.791983089	0.558636544	2.521537807	6	-13.80146	-33.7971
4055	0.505605392	36.7982	0.638152077	1.321351112	0.729554718	2.041993647	6	-12.544639	-33.7971
4056	0.496969719	36.7136	0.628365503	1.411402615	0.720642535	1.965636275	6	-11.287816	-33.7971
4057	0.356546524	36.8601	0.469227702	1.749407805	0.554233659	2.347002786	6	-10.030994	-33.7971
4058	0.394500179	36.6788	0.51223955	1.702626963	0.597594981	2.288579427	6	-8.7741728	-33.7971
4059	0.402018637	37.9837	0.520760015	1.805443171	0.585952464	2.663632931	6	-7.5173512	-33.7971
4060	0.632210576	38.3512	0.7816303	1.323256462	0.85818976	1.890393692	6	-6.260529	-33.7971
4061	0.353518317	40.8766	0.465795917	1.784683124	0.56713723	2.513060853	4	-5.0037074	-33.7971
4062	0.399170569	52.0631	0.517532377	1.449642016	0.728377729	2.11304844	4	-3.7468853	-33.7971
4063	0.273894616	100	0.375560534	0.799717742	0.663406424	1.822497156	5	-2.4900634	-33.7971
4064	0.532779208	59.3276	0.668947425	1.184867537	1.022779414	1.691396055	3	-1.2332417	-33.7971
4065	0.38835376	57.876	0.50527398	1.253668939	0.506528518	1.925804093	3	0.023580147	-33.7971
4066	0.401208527	40.2215	0.51984194	1.759225527	0.672135154	2.428052554	4	1.2804019	-33.7971
4067	0.441217981	38.1099	0.565183568	1.75082761	0.668827027	2.156024268	4	2.5372238	-33.7971
4068	0.248446801	34.784	0.346721216	2.031226708	0.405196658	2.685408074	6	3.7940457	-33.7971
4069	0.453948762	36.493	0.579611017	1.327680081	0.654181366	1.876993327	6	5.0508676	-33.7971
4070	0.357534237	35.8736	0.470347051	1.44065924	0.549313246	2.084817347	6	6.3076892	-33.7971
4071	0.44145814	36.1859	0.565455734	1.539727307	0.644158106	2.104709679	6	7.5645113	-33.7971
4072	0.379734007	35.8499	0.495505448	1.331723483	0.564982373	1.76564657	6	8.8213329	-33.7971
4073	0.269698501	35.3822	0.370805191	1.718137389	0.433923087	2.203648951	6	10.078155	-33.7971
4074	0.308102034	35.9742	0.414326875	1.693401652	0.485511561	2.282863629	6	11.334977	-33.7971
4075	0.396339883	36.5512	0.514324437	1.441892518	0.589461977	2.039235961	6	12.591799	-33.7971
4076	0.406857317	36.2444	0.52624356	1.511845253	0.597343443	2.115700795	6	13.84862	-33.7971
4077	0.39946841	36.0426	0.517869912	1.459687844	0.603855542	2.064946009	6	15.105442	-33.7971
4078	0.395515519	35.7763	0.513390207	1.587201581	0.605258165	2.055947935	6	16.362265	-33.7971
4079	0.301007874	36.0731	0.406287256	1.864018511	0.468746354	2.569166066	6	17.619085	-33.7971
4080	0.457171595	34.2768	0.583263367	1.846880484	0.705147555	2.441662809	4	18.875908	-33.7971
4081	0.391514845	36.3839	0.508856352	1.575427146	0.594782325	2.20219753	6	20.13273	-33.7971
